Department,Tender Count
"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Bhanjanagar Irrigation Divn Bhanjanagar",280
OPEPA Bhubaneswar||Samagra Shiksha Sundargarh,158
"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur",27
Orissa Bridge and Construction Corporation Ltd,19
"CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar",17
EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,17
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||SUKINDA Block,17
CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,15
Odisha Tourism Devl. Corp.,14
CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAJPUR-II,14
"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Chikiti Irrigation Divn Berhampur",13
Municipal Bodies||Angul Municipality,13
Ground Water Survey and Investigation,12
CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,11
"CE,Drainage,Cuttack||SE,Drainage,Cuttack",10
CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,10
"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE, Mahanadi North Division,Jagatpur",9
CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,9
"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE, Jajpur Irr Division,Jajpur",9
Odisha State Agricultural Marketing Board||RMC Padampur,8
"CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir",8
EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,8
CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Jharsuguda,7
Odisha State Agricultural Marketing Board||RMC Bargarh,7
"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",7
CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh I,6
Municipal Bodies||Chandbali NAC,6
"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE,Jaraka Irr Division, Jaraka",6
CE RW I||RW-CIRCLE-SUNDARGARH,5
Municipal Bodies||Bhadrak Municipality,5
CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jaraka Irr Div Jaraka,5
EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-ROURKELA,5
CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,5
CE RW I||RWCIRCLE-BARIPADA||RW Division Karanjia,5
CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Nawarangpur Irrigation Division Nawarangpur,4
"CE-BM,RVN Basin,Berhampur||SE Southern Irr Circle II Paralakhemundi||Rayagada Irrigation Division",4
EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-SAMBALPUR,4
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||DANAGADI Block,4
CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK-II,4
Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Balasore,4
EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,4
EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB Angul Division,4
Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,3
"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Sambalpur Irrigation Division Sambalpur",3
CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR,3
CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,3
CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,3
Municipal Bodies,3
"CE, U Indravati Irr.Project,Khatiguda||SE,Right Canal Circle,Mukhiguda||EE Nawarangapur Irr. Divn. Nawarangapur",3
Orissa State Police Housing and Welfare Corporation Ltd,3
Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Karanjia,3
Municipal Bodies||Gunupur Municipal Council,3
Municipal Bodies||Barbil Municipality,3
Municipal Bodies||Cuttack Municipal Corporation,3
Municipal Bodies||Sambalpur Municipal Corporation,2
CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,2
Municipal Bodies||Kamakhyanagar NAC,2
"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",2
"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE,Mahanadi South Division,Cuttack",2
CE RW I,2
"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Nayagarh",2
CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2
EIC-CIVIL||SERNB-CIRCLE-CUTTACK,2
EIC-CIVIL||SE R and B Electrical,2
Municipal Bodies||Kuchinda NAC,2
Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Nawarangpur,2
EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-BARGARH,2
ODISHA CONSTRUCTION CORPORATION LTD||CIVIL,2
"CCE, L Suktel Irr.Project,Bolangir||CCE,L Sukhtel,Bolangir",2
"CE-BM, Tel Basin,Bhawanipatna||SE Western Irr Circle Bhawanipatna",2
Municipal Bodies||Brajrajnagar Municipality,2
CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-DHARMAGARH,2
CE RW I||RWCIRCLE-KEONJHAR,2
CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2
Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Boudh,2
ST and SC Development Deptt||ITDA Kuchinda,1
PHEO||PH Circle Bhawanipatna||PH Division Balangir,1
EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB DIVN CHARBATIA,1
Rural Water Supply and Sanitation||RWSS Circle Koraput||RWSS Division Koraput,1
CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,1
Odisha State Agricultural Marketing Board||RMC Jaleswar,1
EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-JEYPORE,1
EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-KORAPUT,1
EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,1
CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION-KENDRAPARA,1
"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM II",1
EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR,1
Municipal Bodies||Bijepur NAC,1
"CE,Drainage,Cuttack",1
CE RW I||RWCIRCLE-SUNABEDA,1
EIC-CIVIL,1
"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE Mahanadi Barrage Division Cuttack",1
"CE-BM,UM Basin,Burla",1
Municipal Bodies||Bargarh Municipal Council,1
"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||Khurda Irrigation Divn",1
CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GAJAPATI,1
"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Main Dam Divn,Burla",1
"CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar||EE Drainage Divn. Puri",1
CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-BOUDH,1
CE RW I||RWCIRCLE-SAMBALPUR,1
EIC-CIVIL||SERNB-CIRCLE-PHULBANI,1
Municipal Bodies||Balasore Municipality,1
Municipal Bodies||Kesinga NAC,1
Ground Water Survey and Investigation||GWSI Bhubaneswar,1
CE-NH||SE NH Circle South Berhampur||EE NH Division Paralakhemundi,1
CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-PURI,1
Odisha Hydro Power Corporation Ltd||Balimela H.E. Project Balimela,1
Municipal Bodies||Bhubaneswar Municipal Corporation,1
EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,1
EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-JHARSUGUDA,1
ST and SC Development Deptt||ITDA Rairangpur,1
Municipal Bodies||Balangir Municipality,1
"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR",1
"CCE,Upper Kolab Project,Jeypore||CCE,Upper Kolab Project, Bariniput||EE , Upper Kolab Headworks Division,Kolabnagar",1
